geonameid,name,asciiname,lat,lon,feature_class,feature_code,country,admin1,admin2,population,timezone
8207748,Azeta,Azeta,55.40673,27.52582,P,PPL,BY,07,,0,Europe/Minsk
8207749,Aleksandrovo,Aleksandrovo,55.36841,27.54803,P,PPL,BY,07,,0,Europe/Minsk
8207750,Ust’ye,Ust'ye,55.33559,27.50159,P,PPL,BY,07,,0,Europe/Minsk
8207751,Zagor’ye,Zagor'ye,55.37239,27.51106,P,PPL,BY,07,,0,Europe/Minsk
8207752,Rat’ki,Rat'ki,55.37369,27.5544,P,PPL,BY,07,,0,Europe/Minsk
8207753,Novoye Selo,Novoye Selo,55.79026,27.62956,P,PPL,BY,07,,0,Europe/Minsk
8207754,Vyata,Vyata,55.78256,27.61137,P,PPL,BY,07,,0,Europe/Minsk
8207755,Babariki,Babariki,55.76708,27.58358,P,PPL,BY,07,,0,Europe/Minsk
8207756,Prudniki,Prudniki,55.76576,27.6036,P,PPL,BY,07,,0,Europe/Minsk
8207757,Mezhdurech’ye,Mezhdurech'ye,55.75326,27.6322,P,PPL,BY,07,,0,Europe/Minsk
8207758,Suromshchina,Suromshchina,55.74815,27.60567,P,PPL,BY,07,,0,Europe/Minsk
8207759,Deriporty,Deriporty,55.73331,27.57841,P,PPL,BY,07,,0,Europe/Minsk
8207760,Rudaki,Rudaki,55.72516,27.62697,P,PPL,BY,07,,0,Europe/Minsk
8207761,Shnurki,Shnurki,55.71004,27.57608,P,PPL,BY,07,,0,Europe/Minsk
8207762,Latyshonki,Latyshonki,55.66928,27.61619,P,PPL,BY,07,,0,Europe/Minsk
8207763,Bukovo,Bukovo,55.65573,27.59035,P,PPL,BY,07,,0,Europe/Minsk
8207764,Gizuny,Gizuny,55.64892,27.59477,P,PPL,BY,07,,0,Europe/Minsk
8207765,Martinovtsy,Martinovtsy,55.6408,27.58732,P,PPL,BY,07,,0,Europe/Minsk
8207766,Miorki Pervyye,Miorki Pervyye,55.62914,27.59477,P,PPL,BY,07,,0,Europe/Minsk
8207769,Pleyki,Pleyki,55.60652,27.61175,P,PPL,BY,07,,0,Europe/Minsk
8207770,Pad”yel’tsy,"Pad""yel'tsy",55.60907,27.63102,P,PPL,BY,07,,0,Europe/Minsk
8207771,Stanulevo,Stanulevo,55.63499,27.63611,P,PPL,BY,07,,0,Europe/Minsk
8207772,Goryane,Goryane,55.57191,27.5764,P,PPL,BY,07,,0,Europe/Minsk
8207773,Barsuchina,Barsuchina,55.56731,27.59579,P,PPL,BY,07,,0,Europe/Minsk
8207774,Voytkovo,Voytkovo,55.56067,27.57195,P,PPL,BY,07,,0,Europe/Minsk
8207775,Usovtsy,Usovtsy,55.51595,27.62124,P,PPL,BY,07,,0,Europe/Minsk
8207776,Kolonitsy,Kolonitsy,55.51365,27.57848,P,PPL,BY,07,,0,Europe/Minsk
8207777,Yundelovo,Yundelovo,55.49419,27.57088,P,PPL,BY,07,,0,Europe/Minsk
8207780,Zaprud’ye,Zaprud'ye,55.46186,27.57197,P,PPL,BY,07,,0,Europe/Minsk
8207781,Zachistiki,Zachistiki,55.41182,27.59033,P,PPL,BY,07,,0,Europe/Minsk
8207782,Popki,Popki,55.39986,27.55962,P,PPL,BY,07,,0,Europe/Minsk
8207783,Savarina,Savarina,55.38896,27.60971,P,PPL,BY,07,,0,Europe/Minsk
8207784,Boltramei,Boltramei,55.37979,27.60656,P,PPL,BY,07,,0,Europe/Minsk
8207785,Bowkaly,Bowkaly,55.36578,27.56871,P,PPL,BY,07,,0,Europe/Minsk
8207786,Ivanskiye,Ivanskiye,55.35355,27.58638,P,PPL,BY,07,,0,Europe/Minsk
8207787,Kozhany,Kozhany,55.34838,27.59433,P,PPL,BY,07,,0,Europe/Minsk
8207788,Vislavovo,Vislavovo,55.65635,27.60868,P,PPL,BY,07,,0,Europe/Minsk
8207790,Kartenevo,Kartenevo,55.85632,27.67714,P,PPL,BY,07,,0,Europe/Minsk
8207791,Sushki,Sushki,55.85048,27.66224,P,PPL,BY,07,,0,Europe/Minsk
8207792,Tsingeli,Tsingeli,55.84937,27.68682,P,PPL,BY,07,,0,Europe/Minsk
8207793,Yul’yanovo,Yul'yanovo,55.83849,27.65691,P,PPL,BY,07,,0,Europe/Minsk
8207794,Grigorovshchina,Grigorovshchina,55.81902,27.66709,P,PPL,BY,07,,0,Europe/Minsk
8207795,Zhukovo,Zhukovo,55.81459,27.68104,P,PPL,BY,07,,0,Europe/Minsk
8207799,Kusty,Kusty,55.807,27.698,P,PPLQ,BY,07,,0,Europe/Minsk
8207800,Chemery,Chemery,55.77806,27.64186,P,PPL,BY,07,,0,Europe/Minsk
8207801,Driguchi,Driguchi,55.77194,27.70665,P,PPL,BY,07,,0,Europe/Minsk
